Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Flag - HSDir,Platform,Flag - Hibernating
0000001dxx,DE,944,697,78.159.99.85,mail.dxx.co,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
0001,BG,8027,2089,91.92.109.43,insight.firstnetwork.cf,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
0x112B6D0,NL,19186,637,5.79.90.24,hosted-by-hostdzire.com,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.7 on Linux,0
0x1ea7deadbeef,DE,10131,260,188.68.45.180,188.68.45.180,9001,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
0x3d003,LU,24042,64,83.99.0.104,ip-83-99-0-104.dyn.luxdsl.pt.lu,19001,19030,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
0x3d008,FR,21902,971,188.165.220.34,neo.0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
0x3d009,FR,21099,971,188.165.220.34,neo.0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
0x3d069,NL,1004,303,37.48.120.47,sonix.dk,2195,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
0x616e6f6e,MD,8685,5588,178.17.170.116,178-17-170-116.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
0x616e6f6e,MD,3845,7772,178.17.170.112,178-17-170-112.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
0x616e6f6e,MD,1972,279,178.17.171.78,178-17-171-78.static.as43289.net,443,80,0,1,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
0x616e6f6e,MD,4086,7773,178.17.170.91,178-17-170-91.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
0x616e6f6e,MD,3872,1820,178.175.148.165,178-175-148-165.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
0x616e6f6e,MD,8921,5588,178.17.170.88,178-17-170-88.static.as43289.net,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
0x64657573,US,6698,2774,207.180.251.11,vmd33204.contaboserver.net,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
0xbaddad,GB,4903,3,46.101.9.51,roof.rlogin.net,9001,None,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
0xdeadbad,FI,5834,3,95.216.198.252,sink.rlogin.net,9001,None,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
0xDEADBEEF,DE,3680,17,93.231.91.12,p5DE75B0C.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
0xdeadbeef,FR,4554,10,37.187.96.183,mail.my-mail.rocks,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
0xFE31x00,FR,13217,1103,51.68.186.59,ip59.ip-51-68-186.eu,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
0xygen,N/A,715,128,152.89.160.131,131.160.89.152.in-addr.arpa,15030,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on OpenBSD,0
0ZQIX7g6,RU,4395,753,77.37.142.179,broadband-77-37-142-179.moscow.rt.ru,9749,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
1001nybrgsvgn17,SE,1364,481,83.250.200.92,c83-250-200-92.bredband.comhem.se,64511,64520,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Darwin,0
123456,DE,81,133,91.21.192.164,p5B15C0A4.dip0.t-ipconnect.de,9020,9021,0,0,0,0,0,0,1,1,1,0,Tor 0.4.2.5 on Linux,0
148a25f0fe29,FR,24484,300,51.15.219.225,225-219-15-51.rev.cloud.scaleway.com,80,443,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
1505192200300605,NL,5921,509,5.2.72.101,5.2.72.101,9001,None,0,1,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
15T01,N/A,8472,198,92.60.37.105,t01.s-ix.net,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
1804m1,US,3858,987,198.211.103.103,198.211.103.103,443,80,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
18cd7354bd014e9e96,US,2787,16,99.85.80.169,99.85.80.169,9001,9030,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.5 on FreeBSD,0
19dotrs,DE,2598,825,176.9.208.12,tor-relay.19.rs,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
1blupowered,DE,16615,1279,178.254.36.73,v29788.1blu.de,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
1blupowered2,DE,22519,1278,178.254.23.142,v37841.1blu.de,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
1chandotus,US,8498,166,147.135.36.62,ns102061.ip-147-135-36.us,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
1country2systems,US,1395,1170,184.153.12.141,184.153.12.141,8443,None,0,0,1,0,0,0,1,1,1,0,Tor 0.4.0.5 on Linux,0
1d1dchang3th3c0nf1g,AT,6742,572,37.252.187.129,37-252-187-129.rev.ipax.at,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
1d1dnt3d1th3c0nf1g,NL,966,35,82.161.210.87,pindarots.xs4all.nl,9001,9030,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
1EpHny,CA,10576,3195,158.69.198.177,177.ip-158-69-198.net,6895,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
1fe88e2b0de1891e45,FI,620,61,95.217.132.230,1fe88e2b0de1891e45.kronossec.net,9001,80,0,1,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
1h38zmpksr,US,352,3413,128.223.8.111,planetlab1.cs.uoregon.edu,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.3.5.8 on Linux,0
1rottor1,DE,4100,75,80.143.159.152,p508F9F98.dip0.t-ipconnect.de,8888,8889,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
1torexit,MD,6595,12,31.131.4.171,hosted-by.ihost.md,443,80,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
2000me,DE,15162,301,46.38.235.14,2000me4.nicesrv.de,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
21b,FR,11034,502,51.15.74.130,130-74-15-51.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
22c7676e678bb03519,AR,164,264,190.216.2.136,190-216-2-136.static.impsat.net.ar,443,80,0,1,0,0,0,1,1,1,1,0,Tor 0.4.1.6 on OpenBSD,0
2501,DE,136,16,77.13.12.77,x4d0d0c4d.dyn.telefonica.de,9001,None,0,0,0,0,0,0,1,1,1,0,Tor 0.2.9.16 on Linux,0
2600cityoflondon,GB,139,2682,85.119.82.138,101.vps.bitfolk.com,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.2.9.16 on Linux,0
26resistance,IT,1035,4512,80.211.89.207,26resistance.org,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.3.5.7 on Linux,0
2Contribute,NL,9060,214,80.127.137.14,2contribute-torrelaynode.xs4all.nl,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
2fast4you2,DE,13532,87,178.254.1.90,v39390.1blu.de,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.3.5.8 on Linux,0
2HG,FR,1168,245,163.172.68.222,2hg.org,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
2livebrew,LU,3541,160,104.244.77.111,104.244.77.111,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on DragonFly,0
2mpdhack,US,939,1318,24.147.232.251,c-24-147-232-251.hsd1.ma.comcast.net,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
2propstor,US,7852,15,69.62.162.178,178.162-62-69.ftth.swbr.surewest.net,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
2tangy,US,6561,2599,104.237.144.134,li832-134.members.linode.com,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
324partyvan,US,22453,4450,45.35.192.34,45.35.192.34,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
3735928559,US,8775,136,38.39.192.78,unassigned.psychz.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
3a07dbc8ceae47a08b,FR,11625,472,51.38.125.129,129.ip-51-38-125.eu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.5 on Linux,0
3cce3a91f6a625,NL,32899,258,5.132.38.231,231-38-132-5.ftth.glasoperator.nl,443,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
3tudK4Nde8iQ,SE,8692,198,84.217.182.244,c-f4b6d954.01-418-65736b4.bbcust.telenor.se,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
3zpzl3mnsqzy,US,1323,6579,45.56.90.176,li892-176.members.linode.com,443,80,0,0,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
420blaze,FR,6534,317,51.158.146.218,51-158-146-218.rev.poneytelecom.eu,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
42e7b73f33ff22cfc9c,FR,11655,302,51.38.98.5,5.ip-51-38-98.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
42isNotTheAnswer,DE,1841,1134,46.165.253.180,46.165.253.180,443,None,0,0,1,0,0,1,1,1,0,0,Tor 0.3.5.8 on Linux,0
456c,UA,1746,3841,91.213.8.89,91.213.8.89,443,80,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.5 on Linux,0
456f,UA,5607,3698,91.213.8.130,smtp.avis-relance.com,443,80,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.5 on Linux,0
4663334194545314,NL,5191,509,5.2.72.113,5.2.72.113,9001,None,0,1,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
4istheloneliestnum,NL,2563,220,185.189.183.143,185-189-183-143.rdns.itconnectsyou.nl,10901,10930,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
4pyro2eu3org0,GB,2062,2210,217.155.40.118,guisborough-1.rcc.uk.cluster.ok24.net,9001,80,0,0,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on GNU/kFreeBSD,0
4YReUEdN,DE,760,15,87.78.151.170,xdsl-87-78-151-170.nc.de,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.2.9.16 on Linux,0
4zuwhp,BR,333,4783,200.19.159.34,planetlab1.pop-mg.rnp.br,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.3.5.8 on Linux,0
550aca43,DE,46802,468,85.10.202.67,550aca43.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
550af08a,DE,30638,468,85.10.240.138,550af08a.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
555nase,FR,4836,1516,37.187.3.106,tor-relay.outer-space.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
5705860553591637,NL,5789,509,5.2.72.110,5.2.72.110,9001,None,0,1,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
5af484093f888001e0,US,1954,62,108.62.122.238,5af484093f888001e0.kronossec.net,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
5b82I0IfxsHI7ekh,DE,1302,41,87.122.103.114,i577A6772.versanet.de,8443,None,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0
5efd8dd,DE,68585,302,213.239.216.221,5efd8dd.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
5f818562da9a6de9a3,US,1805,62,108.62.123.222,5f818562da9a6de9a3.kronossec.net,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
5fd811a4,FI,14718,278,95.216.17.164,static.164.17.216.95.clients.your-server.de,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
5fd833a9,FI,11171,278,95.216.51.169,5fd833a9.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
5fd833ab,FI,13689,278,95.216.51.171,5fd833ab.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
5fd833ae,FI,11604,278,95.216.51.174,5fd833ae.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
5iwek,FR,9924,559,51.178.52.8,8.ip-51-178-52.eu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
5n0wt3ch,US,312,19,99.100.63.13,99-100-63-13.lightspeed.irvnca.sbcglobal.net,9001,None,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
6mctr01,FR,13021,301,163.172.168.183,test02.6metric.fr,9001,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
72ab8f63bbd93503,AU,847,4595,139.99.139.143,ip143.ip-139-99-139.net,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
7fach,DE,1282,273,134.119.9.33,j317438.servers.jiffybox.net,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.2.9.16 on Linux,0
7xfe0c69210b36x38b,DE,629,61,78.47.147.45,7xfe0c69210b36x38b.kronossec.net,9001,80,0,1,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
8a22eb7acb4582a167,IN,621,61,116.203.254.69,8a22eb7acb4582a167.kronossec.net,9001,80,0,1,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
8ac97a37,DE,73718,278,138.201.122.55,8ac97a37.retik.eu,443,None,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
