Site, # HTTP requests, # HTTP requests blocked
cnn.com, 69, 5
googletagservices.com, 8, 2
amazon-adsystem.com, 10, 10
criteo.net, 6, 4
cookielaw.org, 12, 0
outbrain.com, 19, 0
optimizely.com, 4, 0
doubleclick.net, 48, 46
jsdelivr.net, 1, 1
beemray.com, 1, 0
ugdturner.com, 1, 0
adsafeprotected.com, 31, 31
indexww.com, 1, 1
krxd.net, 10, 0
chartbeat.com, 3, 0
bing.com, 5, 0
bounceexchange.com, 7, 0
ads-twitter.com, 2, 2
tru.am, 2, 0
boomtrain.com, 3, 0
segment.com, 2, 0
demdex.net, 9, 0
scorecardresearch.com, 8, 0
tree.com, 3, 0
cloudflare.com, 2, 0
google.com, 5, 4
bleacherreport.net, 1, 0
bootstrapcdn.com, 1, 0
googletagmanager.com, 2, 0
google-analytics.com, 4, 0
lendingtree.com, 1, 0
rlcdn.com, 6, 0
rkdms.com, 1, 0
adsrvr.org, 6, 6
rubiconproject.com, 19, 19
adnxs.com, 10, 10
t.co, 2, 0
usabilla.com, 1, 0
everesttech.net, 4, 1
segment.io, 2, 0
yieldmo.com, 2, 2
outbrainimg.com, 2, 0
3lift.com, 3, 3
casalemedia.com, 10, 10
facebook.net, 4, 0
googlesyndication.com, 74, 74
imrworldwide.com, 3, 0
turner.com, 11, 8
d9t9vcvz5fqud.cloudfront.net, 1, 0
facebook.com, 7, 2
cnn.io, 4, 0
onetrust.com, 2, 0
bluekai.com, 3, 0
zemanta.com, 2, 2
im-apps.net, 1, 0
agkn.com, 4, 0
mfadsrvr.com, 2, 0
bidswitch.net, 7, 0
criteo.com, 6, 3
navdmp.com, 1, 0
adition.com, 1, 1
powerlinks.com, 1, 1
eyeota.net, 2, 0
exelator.com, 4, 0
geistm.com, 1, 0
bttrack.com, 1, 1
crwdcntrl.net, 1, 0
creativecdn.com, 2, 2
quantserve.com, 2, 0
trustx.org, 1, 1
moatads.com, 7, 7
turn.com, 8, 8
2mdn.net, 3, 3
mathtag.com, 16, 0
sharedid.org, 1, 0
atdmt.com, 1, 0
yahoo.com, 7, 2
dyntrk.com, 2, 2
1rx.io, 4, 4
media.net, 2, 2
smartadserver.com, 1, 1
fonts.googleapis.com, 2, 0
sitescout.com, 3, 3
impdesk.com, 1, 0
socdm.com, 1, 0
gstatic.com, 22, 0
flashtalking.com, 25, 8
truste.com, 1, 1
bouncex.net, 18, 0
tidaltv.com, 7, 7
tapad.com, 5, 5
emxdgt.com, 1, 0
adswizz.com, 1, 0
advertising.com, 2, 0
addthis.com, 1, 0
spotxchange.com, 1, 1
fwmrm.net, 1, 0
videohub.tv, 1, 0
pubmatic.com, 62, 62
truoptik.com, 2, 0
yieldoptimizer.com, 2, 2
iasds01.com, 2, 0
twitter.com, 2, 0
chartbeat.net, 33, 0
summerhamster.com, 1, 0
trustarc.com, 6, 0
behave.com, 6, 0
adsymptotic.com, 7, 4
netmng.com, 1, 0
simpli.fi, 2, 2
bidr.io, 4, 0
adentifi.com, 1, 1
tribalfusion.com, 2, 2
w55c.net, 1, 1
owneriq.net, 9, 1
resetdigital.co, 1, 0
taboola.com, 3, 1
serverbid.com, 1, 1
adgrx.com, 1, 1
mxptint.net, 2, 0
dotomi.com, 2, 2
ipredictive.com, 1, 1
gumgum.com, 1, 1
adform.net, 4, 2
rundsp.com, 1, 0
acuityplatform.com, 1, 1
zorosrv.com, 1, 0
technoratimedia.com, 1, 1
eyereturn.com, 1, 1
appier.net, 1, 0
brealtime.com, 1, 1
adhigh.net, 2, 2
contextweb.com, 2, 2
gwallet.com, 3, 3
bidtheatre.com, 1, 1
macys.com, 13, 0
macysassets.com, 51, 0
tiqcdn.com, 24, 0
go-mpulse.net, 2, 0
omtrdc.net, 4, 0
narrativ.com, 2, 0
yimg.com, 1, 0
hlserve.com, 1, 1
d1n00d49gkbray.cloudfront.net, 1, 0
pinimg.com, 2, 0
rmtag.com, 2, 0
medallia.com, 2, 0
akamaihd.net, 4, 0
bam-x.com, 3, 0
storetail.net, 1, 0
ibmcloud.com, 5, 0
openx.net, 3, 3
linksynergy.com, 1, 0
pinterest.com, 3, 0
kampyle.com, 3, 0
akstat.io, 1, 0
reson8.com, 1, 0
digitru.st, 1, 0
smarterhq.io, 1, 0

